Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	19	13
OG0000001	20	18
OG0000002	3	3
OG0000003	15	13
OG0000004	4	2
OG0000005	2	2
OG0000006	2	2
OG0000007	13	11
OG0000008	12	10
OG0000009	2	2
OG0000010	6	1
OG0000011	4	3
OG0000012	3	2
OG0000013	4	2
OG0000014	10	8
OG0000015	11	9
OG0000016	2	1
OG0000017	7	7
OG0000018	3	2
OG0000019	3	2
OG0000020	2	2
OG0000021	7	4
OG0000022	13	13
OG0000023	2	1
OG0000024	2	1
OG0000025	2	1
OG0000026	2	1
OG0000027	3	2
OG0000028	9	9
OG0000029	1	1
OG0000030	1	1
OG0000031	2	1
OG0000032	1	1
OG0000033	1	1
OG0000034	1	1
OG0000035	2	2
OG0000036	1	1
OG0000037	1	1
OG0000038	1	1
OG0000039	5	5
OG0000040	8	7
OG0000041	9	9
OG0000042	1	1
OG0000043	4	2
OG0000044	2	1
OG0000045	1	1
OG0000046	4	4
OG0000047	2	2
OG0000048	1	1
OG0000049	4	4
OG0000050	7	6
OG0000051	5	4
OG0000052	7	5
OG0000053	7	7
OG0000054	8	7
OG0000055	8	7
OG0000056	9	9
OG0000057	9	9
OG0000058	7	7
OG0000059	1	1
OG0000060	1	1
OG0000061	1	1
OG0000062	1	1
OG0000063	1	1
OG0000064	2	2
OG0000065	4	3
OG0000066	6	4
OG0000067	6	6
OG0000068	5	5
OG0000069	4	4
OG0000070	2	1
OG0000071	2	2
OG0000072	2	2
OG0000073	3	3
OG0000074	3	3
OG0000075	1	1
OG0000076	1	1
OG0000077	4	3
OG0000078	1	1
OG0000079	2	2
OG0000080	1	1
OG0000081	3	3
OG0000082	2	2
OG0000083	6	6
OG0000084	7	7
OG0000085	4	4
OG0000086	4	2
OG0000087	7	7
OG0000088	2	2
OG0000089	5	3
OG0000090	3	2
OG0000091	5	5
OG0000092	8	8
OG0000093	8	8
OG0000094	1	1
OG0000095	2	2
OG0000096	1	1
OG0000097	2	2
OG0000098	2	2
OG0000099	2	2
OG0000100	2	2
OG0000101	2	2
OG0000102	2	2
OG0000103	1	1
OG0000104	1	1
OG0000105	1	1
OG0000106	1	1
OG0000107	1	1
OG0000108	2	2
OG0000109	3	3
OG0000110	4	4
OG0000111	4	4
OG0000112	3	2
OG0000113	4	4
OG0000114	4	4
OG0000115	3	3
OG0000116	4	4
OG0000117	5	5
OG0000118	2	2
OG0000119	5	5
OG0000120	3	3
OG0000121	3	3
OG0000122	4	4
OG0000123	5	5
OG0000124	4	3
OG0000125	4	4
OG0000126	1	1
OG0000127	1	1
OG0000128	1	1
OG0000129	1	1
OG0000130	1	1
OG0000131	1	0
OG0000132	1	1
OG0000133	1	1
OG0000134	1	1
OG0000135	1	1
OG0000136	1	1
OG0000137	1	1
OG0000138	1	1
OG0000139	1	1
OG0000140	1	1
OG0000141	1	1
OG0000142	1	1
OG0000143	1	1
OG0000144	1	1
OG0000145	1	1
OG0000146	1	1
OG0000147	1	1
OG0000148	2	2
OG0000149	1	0
OG0000150	1	1
OG0000151	1	1
OG0000152	3	3
OG0000153	1	1
OG0000154	1	0
OG0000155	1	1
OG0000156	1	1
OG0000157	1	1
OG0000158	1	1
OG0000159	1	1
OG0000160	1	1
OG0000161	1	1
OG0000162	1	1
OG0000163	1	1
OG0000164	1	1
OG0000165	1	1
OG0000166	1	1
OG0000167	1	1
OG0000168	1	1
OG0000169	2	1
OG0000170	1	1
OG0000171	1	1
