source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Thermosynechococcus_clade/pangenoma	Acaryochloris_marina_MBIC11017_GCF_000018105.1_genomic.gbff	Acaryochloris_marina_S15_GCF_018336915.1_genomic.gbff	Acaryochloris_sp__Moss_Beach_GCF_021497025.1_genomic.gbff	Gloeomargarita_lithophora_Alchichica-_D10_GCF_001870225.1_genomic.gbff	Synechococcus_sp_PCC_6312_GCF_000316685.1_genomic.gbff	Thermostichus_lividus_PCC_6715_GCF_002754935.1_genomic.gbff	Thermosynechococcus_elongatus_PKUAC-SCTE542_GCF_003555505.1_genomic.gbff	Thermosynechococcus_sp_CL-1_GCF_008386235.1_genomic.gbff	Thermosynechococcus_sp_HN-54_GCF_023650955.1_genomic.gbff	Thermosynechococcus_sp_TA-1_GCF_017086385.1_genomic.gbff	Thermosynechococcus_sp_a_NK55_GCF_000505665.1_genomic.gbff	Thermosynechococcus_vestitus_BP-1_GCF_000011345.1_genomic.gbff	
1_istB.faa	ID:WP_012168214.1,ID:WP_012168214.1,ID:WP_083776804.1,ID:WP_012168214.1,ID:WP_083776682.1,ID:WP_083776749.1,ID:WP_083776682.1,ID:WP_012168214.1,ID:WP_012168214.1,ID:WP_012168214.1,ID:WP_083776804.1,ID:WP_083776804.1,ID:WP_012168214.1,	-	ID:WP_235108594.1,	-	-	-	-	-	-	-	-	-	
2_relaxase_domain-cont...faa	ID:WP_012168420.1,ID:WP_012168343.1,ID:WP_012167138.1,ID:WP_012167899.1,ID:WP_012167813.1,	ID:WP_249370281.1,ID:WP_212667139.1,	ID:WP_235112268.1,ID:WP_235113068.1,ID:WP_235112718.1,	-	-	-	-	-	-	-	-	-	
3_pentapeptide_repeat-...faa	ID:WP_012168421.1,	-	-	-	-	-	-	-	-	-	-	-	
4_hypothetical_protein.faa	ID:WP_012168422.1,ID:WP_012167901.1,ID:WP_041661385.1,	-	-	-	-	-	-	-	-	-	-	-	
5_hypothetical_protein.faa	ID:WP_012168423.1,ID:WP_012166277.1,	ID:WP_212667299.1,	-	-	-	-	-	-	-	-	-	-	
6_hypothetical_protein.faa	ID:WP_148216143.1,ID:WP_238549111.1,ID:WP_012168348.1,	ID:WP_212667298.1,	ID:WP_235112736.1,	-	-	-	-	-	-	-	-	-	
7_hypothetical_protein.faa	ID:WP_012168425.1,ID:WP_012166279.1,ID:WP_012168349.1,	ID:WP_212667297.1,	ID:WP_212667297.1,	-	-	-	-	-	-	-	-	-	
8_hypothetical_protein.faa	ID:WP_012168427.1,	-	-	-	-	-	-	-	-	-	-	-	
9_hypothetical_protein.faa	ID:WP_012168428.1,	-	-	-	-	-	-	-	-	-	-	-	
10_hypothetical_protein.faa	ID:WP_012168430.1,ID:WP_012166282.1,ID:WP_012168351.1,	-	ID:WP_235111428.1,	-	-	-	-	-	-	-	-	-	
11_GNAT_family_N-acetyl...faa	ID:WP_012168433.1,ID:WP_012167101.1,	-	ID:WP_235112758.1,	-	-	-	-	-	-	-	-	-	
12_hypothetical_protein.faa	ID:WP_041661547.1,	-	-	-	-	-	-	-	-	-	-	-	
13_hypothetical_protein.faa	ID:WP_012168435.1,	-	-	-	-	-	-	-	-	-	-	-	
14_tetratricopeptide_re...faa	ID:WP_238549411.1,ID:WP_012168474.1,ID:WP_238549033.1,ID:WP_238549405.1,ID:WP_238549392.1,ID:WP_238549384.1,	ID:WP_249370309.1,ID:WP_249370262.1,ID:WP_212667187.1,ID:WP_249370360.1,	ID:WP_235112473.1,ID:WP_235112231.1,ID:WP_235112260.1,ID:WP_235113069.1,ID:WP_235112852.1,	-	-	-	-	-	-	-	-	-	
15_hypothetical_protein.faa	ID:WP_238549408.1,	-	-	-	-	-	-	-	-	-	-	-	
16_helix-turn-helix_dom...faa	ID:WP_049783929.1,ID:WP_049783886.1,ID:WP_049783712.1,ID:WP_049783759.1,ID:WP_049783712.1,ID:WP_049783712.1,ID:WP_049783712.1,ID:WP_049783712.1,	-	-	-	-	-	-	-	-	-	-	-	
17_transposase.faa	ID:WP_049783892.1,ID:WP_049783892.1,ID:WP_083776707.1,ID:WP_083776707.1,ID:WP_083776707.1,ID:WP_083776707.1,ID:WP_083776707.1,	-	-	-	-	-	-	-	-	-	-	-	
18_recombinase_family_p...faa	ID:WP_012168441.1,	-	-	-	-	-	-	-	-	-	-	-	
19_hypothetical_protein.faa	ID:WP_012168443.1,	-	-	-	-	-	-	-	-	-	-	-	
20_hypothetical_protein.faa	ID:WP_012168442.1,ID:WP_012167093.1,ID:WP_012167932.1,	ID:WP_212667277.1,	ID:WP_235112441.1,	-	-	-	-	-	-	-	-	-	
21_hypothetical_protein.faa	ID:WP_012168444.1,ID:WP_012167092.1,ID:WP_012167934.1,	ID:WP_212665887.1,ID:WP_212667276.1,	ID:WP_235112439.1,	-	-	-	-	-	-	-	-	-	
22_hypothetical_protein.faa	ID:WP_012168445.1,	ID:WP_212665888.1,	-	-	-	-	-	-	-	-	-	-	
23_hypothetical_protein.faa	ID:WP_041661550.1,	ID:WP_212666993.1,ID:WP_212665889.1,	ID:WP_235111887.1,	-	-	-	-	-	-	-	-	-	
24_hypothetical_protein.faa	ID:WP_041661564.1,	-	-	-	-	-	-	-	-	-	-	-	
25_hypothetical_protein.faa	ID:WP_012168449.1,	-	-	-	-	-	-	-	-	-	-	-	
26_helix-turn-helix_tra...faa	ID:WP_238549412.1,	-	-	-	-	-	-	-	-	-	-	-	
27_hypothetical_protein.faa	ID:WP_012168451.1,ID:WP_012167087.1,ID:WP_012167937.1,	-	ID:WP_235112434.1,ID:WP_235112755.1,	-	-	-	-	-	-	-	-	-	
28_hypothetical_protein.faa	ID:WP_012168452.1,ID:WP_012168387.1,ID:WP_012167086.1,ID:WP_012167938.1,	ID:WP_212667272.1,	ID:WP_235112432.1,ID:WP_235112779.1,	-	ID:WP_015125426.1,	-	-	-	-	-	-	-	
29_phosphoadenosine_pho...faa	ID:WP_012168453.1,ID:WP_012168388.1,	ID:WP_212666822.1,ID:WP_212666585.1,	ID:WP_235112215.1,	-	-	-	-	-	-	-	-	-	
30_hypothetical_protein.faa	ID:WP_012168454.1,ID:WP_012167085.1,	-	-	-	-	-	-	-	-	-	-	-	
31_hypothetical_protein.faa	ID:WP_012168456.1,ID:WP_012167084.1,ID:WP_041661438.1,	ID:WP_212667269.1,	ID:WP_235112427.1,	-	-	-	-	-	-	-	-	-	
32_hypothetical_protein.faa	ID:WP_238549409.1,ID:WP_012166305.1,ID:WP_012168392.1,ID:WP_012166305.1,ID:WP_012168048.1,ID:WP_012167942.1,	-	ID:WP_235112786.1,	-	-	-	-	-	-	-	-	-	
33_hypothetical_protein.faa	ID:WP_012168458.1,ID:WP_012167083.1,ID:WP_012168393.1,ID:WP_012167083.1,	-	-	-	-	-	-	-	-	-	-	-	
34_DUF4326_domain-conta...faa	ID:WP_012168459.1,ID:WP_012166308.1,ID:WP_049783924.1,ID:WP_012167082.1,	-	-	-	-	-	-	-	-	-	-	-	
35_hypothetical_protein.faa	ID:WP_041661553.1,ID:WP_012167419.1,ID:WP_012166309.1,ID:WP_012167081.1,ID:WP_012167945.1,	ID:WP_212667264.1,	ID:WP_235112422.1,ID:WP_235112790.1,	-	ID:WP_015125390.1,	-	-	-	-	-	-	-	
36_hypothetical_protein.faa	ID:WP_041661554.1,ID:WP_041660658.1,	-	-	-	-	-	-	-	-	-	-	-	
37_hypothetical_protein.faa	ID:WP_012168462.1,	-	-	-	-	-	-	-	-	-	-	-	
38_hypothetical_protein.faa	ID:WP_012166311.1,ID:WP_012166311.1,	-	ID:WP_235108864.1,	-	-	-	-	-	-	-	-	-	
39_hypothetical_protein.faa	ID:WP_012168465.1,ID:WP_012166313.1,	-	-	-	-	-	-	-	-	-	-	-	
40_cation_transporter.faa	ID:WP_238549410.1,ID:WP_238549112.1,	-	-	-	-	-	-	-	-	-	-	-	
41_PD--D-E-XK_nuclease_...faa	ID:WP_012168467.1,ID:WP_012166315.1,ID:WP_012167074.1,ID:WP_012167177.1,ID:WP_012167950.1,	-	-	-	-	-	-	-	-	-	-	-	
42_hypothetical_protein.faa	ID:WP_012166316.1,ID:WP_012166316.1,	-	-	-	-	-	-	-	-	-	-	-	
43_hypothetical_protein.faa	ID:WP_012168468.1,ID:WP_041660659.1,	-	-	-	-	-	-	-	-	-	-	-	
44_diguanylate_cyclase.faa	ID:WP_012168469.1,ID:WP_012166319.1,	-	-	-	-	-	-	-	-	-	-	-	
45_tyrosine-type_recomb...faa	ID:WP_012168470.1,ID:WP_012166331.1,ID:WP_012167972.1,	-	-	-	-	-	-	-	-	-	-	-	
46_WD40_repeat_domain-c...faa	ID:WP_012168471.1,	-	-	-	-	-	-	-	-	-	-	-	
47_ferric_reductase-lik...faa	ID:WP_012168472.1,	-	-	-	-	-	-	-	-	-	-	-	
48_phosphatidic_acid_ph...faa	ID:WP_041661555.1,	ID:WP_235107941.1,	ID:WP_235107941.1,	-	-	-	-	-	-	-	-	-	
50_TIR_domain-containin...faa	ID:WP_012168475.1,ID:WP_012168259.1,	ID:WP_212666715.1,ID:WP_212667186.1,	ID:WP_235112365.1,ID:WP_235112854.1,	-	-	-	-	-	-	-	-	-	
51_NB-ARC_domain-contai...faa	ID:WP_012168476.1,ID:WP_083776918.1,	ID:WP_212666687.1,ID:WP_249370341.1,	ID:WP_235112855.1,	-	-	-	-	-	-	-	-	-	
52_hypothetical_protein.faa	ID:WP_012168477.1,	-	-	-	-	-	-	-	-	-	-	-	
53_hypothetical_protein.faa	ID:WP_012168478.1,	ID:WP_212665882.1,ID:WP_212666685.1,ID:WP_212667184.1,	-	-	-	-	-	-	-	-	-	-	
54_DEAD-DEAH_box_helica...faa	ID:WP_012168479.1,	-	-	-	-	-	-	-	-	-	-	-	
55_hypothetical_protein.faa	ID:WP_012168480.1,	-	-	-	-	-	-	-	-	-	-	-	
56_ParA_family_protein.faa	ID:WP_012168481.1,	-	-	-	-	-	-	-	-	-	-	-	
57_hypothetical_protein.faa	ID:WP_012168482.1,	-	-	-	-	-	-	-	-	-	-	-	
60_hypothetical_protein.faa	ID:WP_012168485.1,	-	-	-	-	-	-	-	-	-	-	-	
61_hypothetical_protein.faa	ID:WP_012168487.1,	-	-	-	-	-	-	-	-	-	-	-	
62_pentapeptide_repeat-...faa	ID:WP_012168489.1,	-	-	-	-	-	-	-	-	-	-	-	
63_hypothetical_protein.faa	ID:WP_012168490.1,	-	-	-	-	-	-	-	-	-	-	-	
64_pentapeptide_repeat-...faa	ID:WP_012168491.1,ID:WP_012163196.1,ID:WP_012163509.1,	ID:WP_212666669.1,	-	-	-	-	-	-	-	-	-	-	
65_hypothetical_protein.faa	ID:WP_012168492.1,ID:WP_012168293.1,	ID:WP_212665841.1,ID:WP_212667169.1,	ID:WP_235112335.1,ID:WP_235113116.1,	-	-	-	-	-	-	-	-	-	
66_pentapeptide_repeat-...faa	ID:WP_148216146.1,	-	-	-	-	-	-	-	-	-	-	-	
67_pentapeptide_repeat-...faa	ID:WP_012168494.1,	-	-	-	-	-	-	-	-	-	-	-	
68_transposase.faa	ID:WP_012168495.1,	-	-	-	-	-	-	-	-	-	-	-	
69_hypothetical_protein.faa	ID:WP_012168496.1,	-	-	-	-	-	-	-	-	-	-	-	
70_pentapeptide_repeat-...faa	ID:WP_012168497.1,ID:WP_148215804.1,	-	-	-	-	-	-	-	-	-	-	-	
71_hypothetical_protein.faa	ID:WP_012168498.1,ID:WP_041661511.1,ID:WP_012167160.1,ID:WP_012168078.1,	ID:WP_249370340.1,	ID:WP_235112316.1,ID:WP_235113004.1,ID:WP_235112872.1,ID:WP_235112919.1,	-	-	-	-	-	-	-	-	-	
72_sigma-70_family_RNA_...faa	ID:WP_012168500.1,ID:WP_012168303.1,ID:WP_238549339.1,	-	ID:WP_235113003.1,	-	-	-	-	-	-	-	-	-	
73_helix-turn-helix_tra...faa	ID:WP_049783931.1,ID:WP_012168305.1,ID:WP_071820012.1,ID:WP_049783909.1,	-	-	-	-	-	-	-	-	-	-	-	
74_hypothetical_protein.faa	ID:WP_012168502.1,ID:WP_012168306.1,	ID:WP_212667158.1,	-	-	-	-	-	-	-	-	-	-	
75_hypothetical_protein.faa	ID:WP_012168503.1,ID:WP_012168307.1,	ID:WP_249370339.1,	ID:WP_235112691.1,	-	-	-	-	-	-	-	-	-	
76_hypothetical_protein.faa	ID:WP_012168504.1,ID:WP_012168308.1,	ID:WP_212667157.1,	-	-	-	-	-	-	-	-	-	-	
77_hypothetical_protein.faa	ID:WP_012168505.1,ID:WP_041661512.1,	ID:WP_212667156.1,	ID:WP_235112694.1,	-	-	-	-	-	-	-	-	-	
78_hypothetical_protein.faa	ID:WP_238549406.1,ID:WP_238549401.1,	ID:WP_249370359.1,	-	-	-	-	-	-	-	-	-	-	
79_hypothetical_protein.faa	ID:WP_012168507.1,	ID:WP_212667155.1,	ID:WP_235112698.1,	-	-	-	-	-	-	-	-	-	
80_hypothetical_protein.faa	ID:WP_012168508.1,	ID:WP_212667154.1,	ID:WP_235112921.1,	-	-	-	-	-	-	-	-	-	
81_hypothetical_protein.faa	ID:WP_012168509.1,ID:WP_012168315.1,	ID:WP_212667153.1,	ID:WP_235112700.1,	-	-	-	-	-	-	-	-	-	
82_hypothetical_protein.faa	ID:WP_012168510.1,	-	-	-	-	-	-	-	-	-	-	-	
83_lipase_superfamily_p...faa	ID:WP_012168511.1,	-	-	-	-	-	-	-	-	-	-	-	
84_alpha-beta_hydrolase.faa	ID:WP_012168512.1,	ID:WP_212664600.1,ID:WP_212667151.1,	ID:WP_235107388.1,	-	-	-	-	-	-	-	-	-	
85_M23_family_metallope...faa	ID:WP_049783932.1,ID:WP_012168323.1,ID:WP_049783879.1,ID:WP_041661127.1,	ID:WP_249370273.1,ID:WP_249370259.1,ID:WP_249370338.1,	ID:WP_235112301.1,ID:WP_235111473.1,ID:WP_235112060.1,ID:WP_235113041.1,ID:WP_235112704.1,	-	-	-	-	-	-	-	-	-	
86_hypothetical_protein.faa	ID:WP_041661559.1,	-	-	-	-	-	-	-	-	-	-	-	
87_TraM_recognition_dom...faa	ID:WP_012168517.1,ID:WP_012168336.1,	ID:WP_212667147.1,	-	-	-	-	-	-	-	-	-	-	
88_hypothetical_protein.faa	ID:WP_012168518.1,ID:WP_012168337.1,	ID:WP_212667146.1,	ID:WP_235112715.1,	-	-	-	-	-	-	-	-	-	
89_hypothetical_protein.faa	ID:WP_148216147.1,	-	-	-	-	-	-	-	-	-	-	-	
90_hypothetical_protein.faa	ID:WP_012168520.1,	-	-	-	-	-	-	-	-	-	-	-	
91_hypothetical_protein.faa	ID:WP_041661560.1,ID:WP_012168036.1,	-	ID:WP_235109747.1,	-	-	-	-	-	-	-	-	-	
92_hypothetical_protein.faa	ID:WP_012168522.1,	-	-	-	-	-	-	-	-	-	-	-	
93_hypothetical_protein.faa	ID:WP_012168523.1,ID:WP_012168339.1,	ID:WP_212667144.1,	ID:WP_235112716.1,	-	-	-	-	-	-	-	-	-	
94_hypothetical_protein.faa	ID:WP_012168524.1,	-	-	-	-	-	-	-	-	-	-	-	
95_DUF1830_domain-conta...faa	ID:WP_012168525.1,	ID:WP_212666898.1,	ID:WP_212666898.1,	-	-	-	-	-	-	-	-	-	
96_hypothetical_protein.faa	ID:WP_012168526.1,	ID:WP_212666897.1,ID:WP_212667141.1,	ID:WP_212666897.1,	-	-	-	-	-	-	-	-	-	
97_IS5-like_element_ISA...faa	ID:WP_012168527.1,ID:WP_012167530.1,ID:WP_012160730.1,ID:WP_012160730.1,ID:WP_012160949.1,ID:WP_012161097.1,ID:WP_012161125.1,ID:WP_012161398.1,ID:WP_012161398.1,ID:WP_012161925.1,ID:WP_012162196.1,ID:WP_012162944.1,ID:WP_012161398.1,ID:WP_012161398.1,ID:WP_012161398.1,	-	-	-	-	-	-	-	-	-	-	-	
98_tetratricopeptide_re...faa	ID:WP_238549407.1,	-	-	-	-	-	-	-	-	-	-	-	
99_class_I_SAM-dependen...faa	ID:WP_012168529.1,ID:WP_012162699.1,	ID:WP_212663121.1,	ID:WP_235110047.1,	-	-	-	-	-	-	-	-	-	
100_Uma2_family_endonucl...faa	ID:WP_041661303.1,ID:WP_012162526.1,	ID:WP_212662978.1,ID:WP_212666635.1,	ID:WP_235109892.1,	ID:WP_071453384.1,ID:WP_071455751.1,ID:WP_071454085.1,ID:WP_071454086.1,	ID:WP_015123849.1,ID:WP_015125097.1,	-	ID:WP_181496810.1,ID:WP_233838266.1,	ID:WP_149817296.1,ID:WP_149817833.1,ID:WP_226972016.1,	ID:WP_250683157.1,ID:WP_250681869.1,ID:WP_250681963.1,	ID:WP_206201247.1,ID:WP_149817833.1,	-	-	
101_hypothetical_protein.faa	ID:WP_012167279.1,	-	-	-	-	-	-	-	-	-	-	-	
102_ATP-grasp_domain-con...faa	ID:WP_012167280.1,ID:WP_012162152.1,ID:WP_012166516.1,	-	-	-	-	-	-	-	-	-	-	-	
103_rod_shape-determinin...faa	ID:WP_012167281.1,ID:WP_012166517.1,	-	-	-	-	-	-	-	-	-	-	-	
104_hypothetical_protein.faa	ID:WP_148216052.1,ID:WP_041661123.1,	-	-	-	-	-	-	-	-	-	-	-	
105_hypothetical_protein.faa	ID:WP_012167283.1,	ID:WP_212666638.1,	ID:WP_235111978.1,	-	-	-	-	-	-	-	-	-	
106_hypothetical_protein.faa	ID:WP_012167284.1,ID:WP_012168089.1,ID:WP_012166519.1,	-	-	-	-	-	-	-	-	-	-	-	
107_hypothetical_protein.faa	ID:WP_012167285.1,	-	-	-	-	-	-	-	-	-	-	-	
