source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Synechococcus_cyanobium_clade/pangenoma	Cyanobium_gracile_PCC_6307_GCF_000316515.1_genomic.gbff	Cyanobium_sp_M30B3_GCF_018399015.1_genomic.gbff	Cyanobium_sp_NIES-981_GCF_900088535.1_genomic.gbff	Cyanobium_sp_NS01_GCF_014280235.1_genomic.gbff	Synechococcus_sp_CBW1002_GCF_015840915.1_genomic.gbff	Synechococcus_sp_CBW1004_GCF_015840715.1_genomic.gbff	Synechococcus_sp_CBW1006_GCF_015840525.1_genomic.gbff	Synechococcus_sp_CBW1108_GCF_015840335.1_genomic.gbff	
16_hypothetical_protein.faa	ID:WP_015107696.1,	-	-	-	ID:WP_197156602.1,	ID:WP_197211514.1,	ID:WP_197156602.1,	ID:WP_197149948.1,	
17_sodium-dependent_bic...faa	ID:WP_015107697.1,	-	-	-	ID:WP_197158861.1,	ID:WP_197211515.1,	ID:WP_197158861.1,	ID:WP_197149950.1,	
20_hypothetical_protein.faa	ID:WP_043325213.1,	-	-	-	-	-	-	-	
61_CPBP_family_intramem...faa	ID:WP_245552689.1,	-	-	-	-	-	-	-	
74_divalent-cation_tole...faa	ID:WP_015107754.1,	-	ID:WP_087067312.1,	-	ID:WP_231598344.1,	ID:WP_197210574.1,	ID:WP_231598344.1,	ID:WP_197150058.1,	
77_hypothetical_protein.faa	ID:WP_015107757.1,	-	-	-	-	ID:WP_197214079.1,	-	-	
83_glycosyltransferase_...faa	ID:WP_015107763.1,	-	-	-	ID:WP_197171884.1,	ID:WP_231597320.1,	ID:WP_197158873.1,	-	
84_glycosyltransferase_...faa	ID:WP_015107764.1,	-	-	-	ID:WP_231597994.1,	ID:WP_197212397.1,	ID:WP_231605378.1,	-	
85_phosphatase_PAP2_fam...faa	ID:WP_245552690.1,	-	-	-	-	-	-	-	
88_chloride_channel_pro...faa	ID:WP_015107768.1,	ID:WP_213205284.1,	ID:WP_087067301.1,	-	ID:WP_197170546.1,	ID:WP_231597159.1,	ID:WP_197156707.1,	ID:WP_231596413.1,	
89_hypothetical_protein.faa	ID:WP_015107769.1,	-	-	-	-	-	-	-	
90_L-D-transpeptidase.faa	ID:WP_015107770.1,	-	-	-	-	-	-	-	
93_type_II_toxin-antito...faa	ID:WP_015107773.1,	-	-	-	ID:WP_197170390.1,	-	ID:WP_197158758.1,	ID:WP_231596387.1,	
94_type_II_toxin-antito...faa	ID:WP_015107774.1,	ID:WP_213204379.1,	-	-	ID:WP_197170391.1,	ID:WP_197210706.1,	ID:WP_197158759.1,ID:WP_231605199.1,	ID:WP_197149566.1,	
95_hypothetical_protein.faa	ID:WP_015107775.1,	-	-	-	ID:WP_197169883.1,	-	ID:WP_197154359.1,	-	
100_YdcF_family_protein.faa	ID:WP_015107782.1,	-	-	-	-	-	-	-	
101_DUF1778_domain-conta...faa	ID:WP_015107783.1,	ID:WP_213202673.1,	-	-	-	-	-	ID:WP_197148479.1,	
102_hypothetical_protein.faa	ID:WP_015107784.1,	ID:WP_213202674.1,	ID:WP_087067877.1,	-	ID:WP_197153729.1,	-	ID:WP_197153729.1,	ID:WP_197148136.1,	
103_NUDIX_domain-contain...faa	ID:WP_172637135.1,	-	-	-	ID:WP_197170001.1,	-	-	ID:WP_197148498.1,	
105_hypothetical_protein.faa	ID:WP_015107787.1,	-	-	-	-	-	-	-	
113_hypothetical_protein.faa	ID:WP_156818324.1,	-	-	-	-	-	-	-	
114_hypothetical_protein.faa	ID:WP_015107796.1,	-	-	-	-	-	-	-	
115_transposase.faa	ID:WP_015107797.1,ID:WP_015107936.1,ID:WP_071881562.1,	ID:WP_213203550.1,	-	-	-	-	-	-	
116_istB.faa	ID:WP_245552561.1,	ID:WP_213203337.1,	ID:WP_225867626.1,ID:WP_225867626.1,ID:WP_225867626.1,ID:WP_225867626.1,ID:WP_225867626.1,	-	ID:WP_231598236.1,ID:WP_231598236.1,ID:WP_231598236.1,ID:WP_231598236.1,ID:WP_231597868.1,ID:WP_231598236.1,	-	ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231598236.1,ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231597868.1,ID:WP_231598236.1,	ID:WP_231596186.1,ID:WP_231596186.1,ID:WP_231596502.1,ID:WP_231596186.1,ID:WP_231596186.1,ID:WP_231596354.1,ID:WP_231596186.1,ID:WP_231596206.1,ID:WP_231596186.1,ID:WP_231596206.1,ID:WP_231596186.1,ID:WP_231596272.1,ID:WP_231596354.1,ID:WP_231596186.1,ID:WP_231596186.1,ID:WP_231596186.1,ID:WP_231596186.1,ID:WP_231596385.1,ID:WP_231596186.1,ID:WP_231596186.1,	
117_hypothetical_protein.faa	ID:WP_051016979.1,	-	-	-	-	-	-	-	
