Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N2	n0	0.5	Non-Terminal	Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593802.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009545688.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544211.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009545834.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543248.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543969.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594178.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543647.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015783362.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_241392623.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593410.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544070.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546621.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544246.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546007.1
OG0000000	N2	n2	0.25	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544211.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009545834.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543248.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543969.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594178.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543647.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015783362.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_241392623.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593410.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544070.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546621.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544246.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546007.1
OG0000000	N2	n3	0.25	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009545834.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543248.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543969.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594178.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543647.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015783362.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_241392623.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593410.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544070.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546621.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544246.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546007.1
OG0000000	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	n4	1.0	Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009545834.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543248.1
OG0000000	N2	n5	0.5	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543969.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594178.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543647.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015783362.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_241392623.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593410.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544070.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546621.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544246.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546007.1
OG0000000	N2	n6	0.5	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543969.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594178.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543647.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015783362.1
OG0000000	N2	n9	0.25	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_241392623.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593410.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544070.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546621.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544246.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546007.1
OG0000000	N2	n10	0.5	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1	Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_241392623.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593410.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544070.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009546621.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544246.1
OG0000000	N2	n11	0.25	Non-Terminal	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543303.1	Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1
OG0000000	N2	n12	0.25	Non-Terminal	Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_015957397.1	Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543747.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595925.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543746.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012594684.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544528.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543304.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543748.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012595926.1, Rippkaea_orientalis_PCC_8801_GCF_000021805_1_protein_WP_012593388.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009543301.1, Crocosphaera_subtropica_ATCC_51142_GCF_000017845_1_protein_WP_009544529.1
