Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA.gbff,Crocosphaera_subtropica_ATCC_51142.gbff,Rippkaea_orientalis_PCC_8801.gbff,cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1.gbff,cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko.gbff,cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB.gbff
1_TRAP_transporter_sub...faa,,,,,,,,,,,,,,1,1,1,1,0,0
2_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,1,0,0
3_bchI.faa,,,,,,,,,,,,,,1,1,1,1,0,1
4_gloA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
5_ubiE.faa,,,,,,,,,,,,,,1,1,1,1,0,0
6_DUF445_family_protei...faa,,,,,,,,,,,,,,1,1,1,1,1,1
7_response_regulator_t...faa,,,,,,,,,,,,,,1,1,1,1,1,1
8_grxD.faa,,,,,,,,,,,,,,1,1,1,1,1,1
9_BolA-IbaG_family_iro...faa,,,,,,,,,,,,,,1,1,1,1,1,1
10_hypothetical_protein.faa,,,,,,,,,,,,,,1,1,1,1,1,1
11_ribonuclease_catalyt...faa,,,,,,,,,,,,,,1,1,0,1,0,0
12_1-deoxy-D-xylulose-5...faa,,,,,,,,,,,,,,1,1,1,1,1,1
13_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
14_asnS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
15_PRC-barrel_domain-co...faa,,,,,,,,,,,,,,1,1,1,1,1,1
16_gap.faa,,,,,,,,,,,,,,1,1,1,1,1,1
17_phosphoglycerate_kin...faa,,,,,,,,,,,,,,1,1,1,1,1,1
18_leuS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
19_DEAD-DEAH_box_helica...faa,,,,,,,,,,,,,,1,1,1,1,1,1
20_uvrC.faa,,,,,,,,,,,,,,1,1,1,1,1,1
21_Mur_ligase_family_pr...faa,,,,,,,,,,,,,,1,1,1,1,1,1
22_HNH_endonuclease.faa,,,,,,,,,,,,,,1,1,1,0,1,1
23_ribonuclease_J.faa,,,,,,,,,,,,,,1,1,1,1,1,1
24_dapA.faa,,,,,,,,,,,,,,1,1,1,1,1,1
25_aspartate-semialdehy...faa,,,,,,,,,,,,,,1,1,1,1,1,1
26_efp.faa,,,,,,,,,,,,,,1,1,1,1,1,1
27_accB.faa,,,,,,,,,,,,,,1,1,1,1,1,1
28_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,1,0,1,0,0
29_Rne-Rng_family_ribon...faa,,,,,,,,,,,,,,1,1,1,1,1,1
30_gatC.faa,,,,,,,,,,,,,,1,1,1,1,1,1
31_photosystem_I_assemb...faa,,,,,,,,,,,,,,1,1,1,1,0,0
32_carbohydrate_ABC_tra...faa,,,,,,,,,,,,,,1,1,1,1,1,1
33_ileS.faa,,,,,,,,,,,,,,1,1,1,1,1,1
