Orthogroup	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein
OG0000000	WP_009545688.1	WP_012593802.1
OG0000000	WP_009543969.1	WP_012594178.1
OG0000000	WP_009543647.1	WP_015783362.1
OG0000000	WP_009543747.1	WP_012595925.1
OG0000000	WP_009543746.1	WP_012594684.1
OG0000000	WP_009543748.1	WP_012595926.1
OG0000000	WP_009543301.1, WP_009544529.1	WP_012593388.1
OG0000000	WP_009544070.1, WP_009546621.1, WP_009544246.1	WP_241392623.1, WP_012593410.1
OG0000001	WP_009544936.1	WP_012596259.1
OG0000001	WP_009545753.1	WP_012595241.1, WP_012596802.1, WP_012593748.1
OG0000001	WP_024750298.1	WP_012596139.1, WP_012596118.1
OG0000002	WP_009545745.1	WP_012594306.1
OG0000002	WP_009547639.1	WP_012593393.1
OG0000002	WP_009547100.1	WP_012593409.1
OG0000002	WP_009543682.1	WP_012594749.1
OG0000003	WP_009545383.1	WP_241392545.1
OG0000003	WP_009543657.1	WP_012596899.1
OG0000003	WP_243397349.1	WP_012597031.1, WP_012594345.1
OG0000003	WP_009547523.1, WP_009543344.1, WP_009545224.1, WP_009546112.1, WP_009546100.1, WP_009547688.1, WP_009546927.1, WP_009545379.1, WP_009547381.1	WP_012595469.1, WP_012596442.1
OG0000004	WP_009544490.1	WP_012594919.1
OG0000004	WP_009546682.1	WP_015785227.1
OG0000004	WP_009544488.1	WP_012597044.1
OG0000004	WP_009543637.1	WP_203427746.1
OG0000005	WP_009543121.1	WP_012594914.1
OG0000005	WP_009543917.1	WP_012593970.1
OG0000005	WP_009544188.1	WP_015957337.1
OG0000006	WP_009545257.1	WP_012593655.1
OG0000006	WP_182670735.1	WP_012595157.1
OG0000006	WP_009544095.1	WP_012593979.1
OG0000007	WP_009544607.1	WP_012595323.1
OG0000007	WP_009547819.1	WP_012593644.1
OG0000007	WP_009544562.1	WP_012596642.1, WP_012594194.1
OG0000007	WP_009543169.1	WP_012595327.1, WP_012596554.1, WP_012593459.1, WP_012595205.1
OG0000008	WP_009544224.1	WP_012595034.1
OG0000008	WP_009547229.1	WP_012595352.1
OG0000008	WP_009544929.1	WP_012596978.1
OG0000008	WP_009544699.1	WP_012595457.1
OG0000008	WP_243397462.1, WP_009545322.1, WP_243397464.1, WP_009546315.1, WP_009546992.1, WP_009545098.1, WP_243397458.1	WP_012594683.1
OG0000009	WP_024750155.1	WP_241392710.1
OG0000009	WP_009545890.1	WP_012596758.1
OG0000009	WP_009545720.1	WP_012594295.1
OG0000010	WP_009546667.1	WP_012595805.1
OG0000010	WP_009546565.1	WP_012596210.1
OG0000011	WP_009546116.1, WP_009547563.1	WP_012596523.1
OG0000011	WP_009547562.1, WP_009546117.1	WP_012596524.1
OG0000012	WP_009547713.1	WP_012596142.1
OG0000012	WP_009543676.1	WP_012594471.1, WP_157861323.1
OG0000012	WP_024750201.1	WP_012796780.1
OG0000013	WP_009547756.1, WP_009547089.1	WP_012594400.1
OG0000013	WP_009545746.1, WP_009543059.1	WP_012594852.1
OG0000013	WP_009545489.1	WP_012593716.1
OG0000014	WP_009547647.1	WP_015785365.1
OG0000014	WP_009543293.1	WP_203427702.1, WP_012596144.1
OG0000014	WP_009544734.1	WP_012597121.1, WP_012596208.1
OG0000014	WP_009543166.1	WP_012595891.1, WP_049769550.1, WP_012594659.1, WP_012594529.1
OG0000015	WP_009545827.1	WP_012596624.1
OG0000015	WP_009543943.1	WP_012595899.1, WP_012594926.1, WP_015957358.1, WP_012597101.1
OG0000015	WP_009543606.1	WP_015957393.1, WP_012595331.1, WP_012595555.1, WP_012597050.1, WP_012595047.1
OG0000016	WP_009546466.1	WP_012593760.1
OG0000016	WP_009543337.1	WP_012596559.1
OG0000016	WP_009547210.1	WP_015957439.1
OG0000017	WP_009544298.1, WP_009546399.1, WP_009546408.1, WP_009544297.1, WP_009546409.1, WP_009544307.1	WP_012594218.1
OG0000017	WP_009546394.1, WP_009547633.1	WP_012595624.1
OG0000018	WP_009543558.1	WP_012594879.1
OG0000018	WP_009545725.1, WP_009545518.1	WP_012596839.1
OG0000019	WP_009544187.1	WP_012595938.1
OG0000019	WP_009544094.1, WP_009545025.1	WP_012596598.1
OG0000020	WP_009544175.1	WP_012594334.1
OG0000020	WP_009543905.1	WP_012593861.1
OG0000020	WP_009545807.1	WP_012597235.1
OG0000021	WP_009545938.1, WP_009543531.1	WP_012594692.1
OG0000021	WP_009547079.1	WP_012596349.1
OG0000021	WP_009545115.1	WP_012595206.1
OG0000021	WP_009547190.1	WP_012594457.1
OG0000023	WP_009543540.1	WP_012594825.1
OG0000023	WP_009544544.1	WP_012594459.1
OG0000024	WP_009545850.1	WP_012594128.1
OG0000024	WP_009543829.1	WP_012594863.1
OG0000025	WP_009544410.1	WP_012594546.1
OG0000025	WP_243397415.1	WP_241392701.1
OG0000026	WP_009544174.1	WP_012594333.1
OG0000026	WP_009544392.1	WP_012596082.1
OG0000027	WP_009545893.1	WP_012595814.1
OG0000028	WP_009545644.1	WP_012596671.1, WP_012593398.1
OG0000028	WP_009547421.1	WP_012594698.1, WP_012596022.1, WP_012596680.1, WP_012596679.1, WP_012596113.1
OG0000028	WP_009543656.1, WP_009543113.1	WP_012593824.1, WP_012593729.1
OG0000029	WP_009544464.1	WP_012594738.1
OG0000029	WP_009547491.1	WP_012595625.1
OG0000030	WP_182670728.1	WP_012593771.1
OG0000030	WP_009546539.1	WP_012597010.1
OG0000031	WP_009544101.1	WP_012594308.1
OG0000031	WP_008276079.1	WP_012596199.1
OG0000032	WP_009543349.1	WP_012596416.1
OG0000032	WP_009547073.1	WP_012597073.1
OG0000033	WP_009543405.1	WP_012594695.1
OG0000033	WP_009543543.1	WP_012593929.1
OG0000034	WP_009545495.1	WP_012594532.1
OG0000034	WP_009544164.1	WP_012596119.1
OG0000035	WP_009546455.1	WP_241392715.1
OG0000035	WP_009545414.1	WP_012593750.1
OG0000036	WP_009545829.1	WP_012595422.1
OG0000036	WP_049769499.1	WP_203427679.1
OG0000037	WP_007307443.1	WP_012596483.1
OG0000037	WP_009547754.1	WP_012594303.1
OG0000038	WP_009547281.1	WP_012593581.1
OG0000038	WP_009545219.1	WP_015785396.1
OG0000039	WP_009544893.1	WP_015785241.1
OG0000039	WP_009544652.1, WP_009546719.1, WP_009544717.1, WP_009545237.1, WP_009547831.1	WP_241392603.1
OG0000040	WP_009545833.1	WP_012596828.1
OG0000040	WP_009543417.1	WP_012597005.1, WP_012593840.1, WP_012593472.1, WP_012595367.1, WP_012595811.1
OG0000040	WP_009544218.1	WP_012594707.1
OG0000041	WP_009546273.1, WP_243397444.1, WP_009547254.1, WP_243397422.1, WP_009547685.1, WP_009547298.1	WP_012595278.1, WP_012595716.1
OG0000041	WP_009548013.1, WP_009546293.1, WP_009546473.1	WP_203427736.1
OG0000042	WP_009544391.1	WP_012594469.1
OG0000042	WP_009543334.1	WP_015785216.1
OG0000043	WP_009545253.1	WP_012594033.1
OG0000043	WP_009545483.1, WP_008274085.1	WP_012594202.1
OG0000044	WP_009546633.1	WP_012595098.1
OG0000044	WP_009547284.1	WP_012594479.1
OG0000045	WP_009545594.1	WP_012594097.1
OG0000045	WP_009543824.1	WP_012594193.1
OG0000046	WP_009546811.1	WP_012595612.1
OG0000046	WP_041231900.1, WP_009545315.1, WP_009545012.1, WP_009548031.1	WP_015785163.1
OG0000047	WP_009545962.1	WP_012595503.1
OG0000047	WP_009546220.1, WP_009545628.1	WP_012593998.1
OG0000048	WP_009544711.1	WP_012595429.1
OG0000048	WP_156922850.1	WP_012594781.1
OG0000049	WP_009543434.1	WP_012595669.1
OG0000049	WP_009546961.1, WP_024750405.1	WP_012597189.1, WP_012594467.1
OG0000050	WP_009543594.1	WP_012595169.1, WP_012596225.1
OG0000050	WP_009544397.1	WP_012596220.1
OG0000050	WP_009545716.1	WP_012595165.1, WP_012594059.1, WP_241392704.1, WP_012594556.1
OG0000051	WP_009545120.1	WP_012594612.1
OG0000051	WP_009547230.1	WP_012595388.1
OG0000051	WP_009544930.1	WP_012594685.1
OG0000052	WP_009547817.1	WP_012595445.1
OG0000052	WP_009543860.1	WP_012594712.1
OG0000052	WP_009547010.1	WP_241392681.1, WP_012596942.1
OG0000053	WP_009544229.1	WP_012597229.1
OG0000053	WP_009547881.1, WP_009544453.1, WP_009545085.1, WP_009546702.1, WP_071818212.1, WP_009544274.1, WP_009547076.1	WP_012596905.1
OG0000054	WP_009547311.1	WP_012593557.1, WP_012593025.1, WP_012597288.1
OG0000054	WP_009544400.1	WP_012596738.1, WP_012593591.1, WP_012594195.1, WP_015785293.1
OG0000055	WP_009544805.1, WP_012361544.1	WP_012596626.1
OG0000055	WP_243397419.1, WP_012361543.1, WP_009544806.1	WP_012597200.1, WP_012593072.1, WP_012596627.1
OG0000056	WP_009545053.1	WP_012595520.1, WP_241392559.1, WP_012596233.1, WP_241392558.1, WP_049769534.1, WP_012594983.1, WP_012597145.1, WP_049769533.1, WP_012596242.1, WP_241392712.1
OG0000057	WP_009546951.1	WP_012594655.1, WP_012597042.1, WP_012593542.1, WP_012594743.1, WP_012596752.1, WP_012593754.1, WP_071819081.1, WP_241392638.1, WP_049769527.1, WP_041229572.1
OG0000058	WP_009547830.1	WP_012593859.1
OG0000058	WP_243397351.1	WP_241392601.1, WP_012596407.1, WP_241392671.1, WP_012593436.1, WP_012594900.1, WP_203427677.1
OG0000058	WP_009547252.1	WP_015785257.1
OG0000059	WP_243397436.1	WP_012595567.1
OG0000060	WP_009544463.1	WP_012593905.1
OG0000060	WP_009545902.1	WP_012596047.1
OG0000061	WP_009544919.1	WP_015957341.1
OG0000061	WP_009545207.1	WP_012594290.1
OG0000062	WP_009544184.1	WP_012595942.1
OG0000062	WP_009545768.1	WP_015957441.1
OG0000063	WP_009543178.1	WP_012597266.1
OG0000063	WP_009546048.1	WP_012595665.1
OG0000064	WP_009546575.1	WP_015785140.1
OG0000065	WP_009546761.1	WP_012596453.1
OG0000065	WP_008274631.1	WP_012594577.1
OG0000065	WP_009545353.1	WP_012597057.1
OG0000065	WP_009544824.1	WP_012593440.1
OG0000066	WP_009546229.1	WP_012594887.1
OG0000066	WP_009547810.1	WP_241392543.1
OG0000066	WP_009546197.1, WP_012362595.1	WP_241392544.1
OG0000067	WP_009547055.1	WP_012595963.1
OG0000067	WP_009546317.1, WP_009543858.1, WP_009543978.1, WP_009544236.1	WP_012595170.1
OG0000067	WP_009543661.1	WP_157861311.1, WP_012595364.1
OG0000069	WP_009545277.1	WP_012596888.1
OG0000069	WP_009547130.1	WP_015957318.1
OG0000069	WP_009545451.1	WP_012594746.1
OG0000069	WP_009547273.1	WP_012596746.1
OG0000069	WP_009546054.1	WP_012596747.1
OG0000070	WP_009546884.1	WP_012595832.1
OG0000070	WP_009545228.1	WP_012595002.1
OG0000071	WP_009544309.1	WP_012596454.1, WP_012596462.1
OG0000071	WP_009543458.1	WP_012595988.1
OG0000072	WP_024750314.1	WP_203427683.1
OG0000072	WP_009544486.1, WP_009545800.1	WP_012597036.1
OG0000073	WP_009545423.1, WP_009543817.1, WP_024750374.1, WP_009547813.1	WP_012596709.1
OG0000074	WP_009543919.1, WP_009545084.1, WP_009544599.1, WP_009547757.1	WP_012594005.1
OG0000075	WP_009547013.1	WP_012595418.1
OG0000075	WP_009546130.1	WP_012595329.1
OG0000076	WP_009545469.1	WP_012594955.1
OG0000077	WP_243397404.1, WP_009546604.1, WP_009546594.1	WP_012593430.1
OG0000077	WP_009546603.1	WP_012593761.1
OG0000078	WP_009544239.1, WP_009546463.1	WP_012593764.1
OG0000079	WP_009544943.1	WP_012594259.1, WP_012593427.1
OG0000079	WP_009547426.1	WP_015957296.1
OG0000080	WP_009543532.1	WP_012596919.1
OG0000080	WP_009547423.1	WP_012595549.1
OG0000081	WP_009546820.1, WP_009546672.1, WP_009543356.1, WP_009543644.1	WP_012594445.1
OG0000082	WP_009543051.1	WP_012594042.1
OG0000082	WP_009543538.1, WP_009543863.1	WP_012593415.1
OG0000083	WP_009547105.1, WP_009543159.1, WP_009544456.1	WP_012593529.1, WP_012593530.1
OG0000083	WP_009547309.1, WP_009543054.1, WP_009547816.1	WP_012595014.1
OG0000084	WP_009547577.1, WP_009544704.1, WP_009547608.1, WP_009543057.1, WP_009547575.1, WP_009546477.1, WP_009545013.1, WP_009546079.1	WP_012596252.1
OG0000085	WP_009546106.1, WP_009543598.1	WP_012595699.1
OG0000085	WP_009543122.1, WP_009543265.1, WP_009548026.1	WP_012594394.1
OG0000086	WP_009545554.1	WP_012596748.1
OG0000086	WP_009544491.1	WP_012596847.1
OG0000086	WP_009543182.1	WP_012594871.1
OG0000087	WP_009543496.1, WP_009544767.1, WP_009545340.1, WP_041231842.1, WP_009547863.1, WP_009543279.1, WP_009547664.1, WP_012362048.1	WP_012595470.1
OG0000088	WP_009545620.1	WP_012594728.1
OG0000088	WP_009543355.1	WP_012595634.1
OG0000088	WP_009546994.1	WP_012593825.1
OG0000089	WP_009543685.1, WP_009543689.1	WP_012596469.1
OG0000089	WP_009545380.1	WP_012596776.1
OG0000089	WP_012362679.1	WP_012595022.1
OG0000090	WP_009546850.1	WP_241392598.1
OG0000090	WP_009544501.1	WP_012594496.1
OG0000090	WP_009546599.1	WP_012594069.1
OG0000091	WP_009547812.1	WP_157861298.1, WP_012595876.1, WP_012596858.1
OG0000091	WP_009545788.1	WP_012595255.1, WP_012594944.1
OG0000091	WP_009546901.1	WP_012595790.1
OG0000094	WP_009544489.1	WP_012594920.1
OG0000094	WP_009546681.1	WP_041229691.1
OG0000095	WP_009545389.1, WP_009545286.1, WP_009544583.1	WP_012593703.1
OG0000096	WP_009545816.1	WP_015957414.1
OG0000096	WP_009543566.1	WP_012597268.1
OG0000097	WP_024750257.1, WP_035858004.1, WP_243397463.1	WP_015957364.1
OG0000098	WP_009545420.1, WP_009545511.1, WP_009547416.1	WP_012594114.1
OG0000099	WP_009547815.1	WP_012595319.1, WP_012593637.1, WP_241392626.1
OG0000100	WP_009543491.1, WP_009547444.1, WP_009543504.1	WP_015785162.1
OG0000101	WP_009546167.1, WP_012362635.1, WP_009545709.1	WP_012595482.1
OG0000102	WP_009546665.1	WP_012593820.1, WP_041229573.1, WP_012594581.1
OG0000103	WP_243397358.1	WP_012595522.1
OG0000103	WP_009543129.1	WP_012594660.1
OG0000104	WP_009547112.1	WP_015785086.1
OG0000104	WP_009547111.1	WP_015785087.1
OG0000105	WP_009545168.1	WP_012596179.1
OG0000105	WP_009545169.1	WP_012596178.1
OG0000106	WP_243397372.1	WP_012596108.1
OG0000106	WP_009543261.1	WP_012596398.1
OG0000107	WP_009543713.1	WP_012596485.1
OG0000107	WP_009546610.1	WP_012596486.1
OG0000108	WP_009543548.1, WP_009545363.1, WP_009543927.1	WP_012596917.1
OG0000109	WP_009547028.1	WP_012595566.1
OG0000109	WP_009543262.1	WP_012594062.1, WP_012595559.1, WP_012596399.1
OG0000110	WP_009546782.1	WP_012594574.1
OG0000110	WP_009546533.1	WP_012594082.1
OG0000110	WP_009543403.1, WP_009545955.1, WP_009544804.1	WP_015785261.1
OG0000111	WP_024750299.1	WP_012597070.1
OG0000111	WP_009543585.1, WP_009547702.1, WP_009546950.1, WP_009547805.1	WP_015957408.1
OG0000112	WP_009546619.1	WP_012596343.1
OG0000112	WP_009546800.1	WP_012595312.1
OG0000112	WP_009546618.1	WP_012596344.1
OG0000113	WP_009545822.1	WP_012596123.1
OG0000113	WP_009543710.1, WP_243397460.1	WP_012594064.1, WP_012594108.1
OG0000113	WP_009547744.1	WP_012594252.1
OG0000114	WP_009543800.1	WP_012594615.1
OG0000114	WP_009547531.1, WP_009544355.1, WP_009546209.1, WP_009546905.1	WP_012593735.1
OG0000115	WP_009543953.1	WP_012594423.1, WP_012594458.1
OG0000115	WP_009547711.1	WP_012594424.1, WP_012596696.1
OG0000116	WP_009544980.1	WP_012593483.1
OG0000116	WP_009544045.1	WP_012597058.1, WP_012594539.1, WP_012593408.1
OG0000116	WP_009546149.1	WP_015785186.1
OG0000117	WP_009546694.1, WP_009544075.1, WP_009547837.1, WP_009546690.1, WP_009544420.1, WP_009544899.1	WP_012596804.1
OG0000118	WP_009544430.1	WP_012596620.1
OG0000118	WP_009547559.1, WP_009544406.1	WP_012595618.1
OG0000119	WP_009547304.1	WP_012595797.1, WP_012594285.1
OG0000119	WP_009544418.1, WP_009546985.1, WP_009545448.1	WP_012593942.1, WP_241392668.1
OG0000120	WP_009546805.1	WP_012594795.1
OG0000120	WP_009544520.1	WP_015957442.1
OG0000120	WP_009544855.1	WP_012595917.1, WP_012593997.1
OG0000121	WP_009545748.1	WP_012594165.1
OG0000121	WP_009547371.1	WP_012596055.1
OG0000121	WP_009544660.1	WP_012593078.1, WP_012596316.1
OG0000122	WP_009544727.1	WP_012596206.1
OG0000122	WP_009545558.1	WP_083767405.1
OG0000122	WP_009547249.1, WP_024750227.1	WP_015957367.1, WP_012594586.1
OG0000123	WP_009544765.1	WP_012593868.1
OG0000123	WP_243397410.1, WP_009547403.1, WP_009546692.1, WP_009545522.1, WP_009546502.1	WP_012597061.1
OG0000124	WP_009547312.1	WP_012593024.1, WP_012593556.1
OG0000124	WP_009546928.1	WP_012596737.1
OG0000124	WP_009547870.1	WP_012593592.1
OG0000125	WP_182670732.1, WP_182670731.1, WP_012362258.1	WP_203427668.1, WP_203427749.1, WP_203427674.1
OG0000126	WP_009546832.1	WP_015957418.1, WP_012593865.1
OG0000127	WP_024750296.1	WP_015957401.1, WP_012595439.1
OG0000128	WP_009547859.1, WP_009543552.1	WP_012594763.1
OG0000129	WP_009544242.1	WP_041229730.1, WP_012594805.1
OG0000130	WP_009545643.1, WP_009545642.1	WP_012594988.1
OG0000131	WP_009545640.1	WP_015957321.1, WP_012594691.1
OG0000132	WP_009545676.1, WP_009546376.1	WP_012594366.1
OG0000133	WP_009544165.1, WP_009543457.1	WP_012595989.1
OG0000134	WP_007303504.1, WP_008278493.1	WP_012595984.1
OG0000135	WP_009545785.1	WP_012595644.1
OG0000136	WP_009544790.1, WP_009544592.1	WP_012595479.1
OG0000137	WP_009546673.1	WP_012594337.1, WP_012595640.1
OG0000138	WP_009543790.1	WP_012596073.1, WP_012593588.1
OG0000139	WP_009547968.1, WP_009546720.1	WP_012595057.1
OG0000140	WP_009544317.1, WP_009544507.1	WP_012596877.1
OG0000141	WP_009545747.1	WP_012594416.1
OG0000142	WP_009544168.1, WP_009544998.1	WP_012593511.1
OG0000143	WP_009546921.1, WP_009547547.1	WP_012594949.1
OG0000144	WP_009544732.1, WP_009543419.1	WP_012594160.1
OG0000145	WP_009544073.1, WP_009543123.1	WP_012596664.1
OG0000146	WP_009543925.1, WP_182670740.1	WP_012596526.1
OG0000147	WP_009546297.1, WP_009544469.1	WP_015785160.1
OG0000148	WP_009546745.1, WP_009543132.1	WP_015957424.1, WP_012593424.1
OG0000149	WP_009547448.1	WP_012593847.1, WP_015957423.1
OG0000150	WP_009543423.1, WP_009547814.1	WP_012593636.1
OG0000151	WP_009546432.1, WP_009544062.1	WP_012594201.1
OG0000152	WP_009543985.1, WP_009546918.1	WP_012593569.1
OG0000153	WP_009547790.1, WP_024750185.1	WP_012595642.1
OG0000154	WP_009546638.1	WP_012595103.1, WP_012595438.1
OG0000155	WP_009545287.1, WP_009545528.1	WP_012596725.1
OG0000156	WP_009547552.1, WP_009546907.1	WP_012595010.1
OG0000157	WP_009545635.1	WP_012596253.1, WP_012595147.1
OG0000158	WP_009544654.1, WP_009543323.1	WP_012594198.1
OG0000159	WP_198019420.1, WP_009547468.1	WP_015957304.1
OG0000160	WP_009544653.1, WP_009547114.1	WP_012597253.1
OG0000161	WP_009546467.1	WP_012596564.1, WP_012595658.1
OG0000162	WP_009545400.1	WP_012594272.1
OG0000162	WP_009543801.1	WP_012594787.1
OG0000163	WP_024750143.1, WP_009547218.1	WP_012595130.1
OG0000164	WP_009544719.1	WP_012596408.1, WP_012594769.1
OG0000165	WP_009544559.1	WP_012596278.1, WP_012593645.1
OG0000166	WP_009546993.1, WP_009543851.1	WP_012596831.1
OG0000167	WP_156922878.1, WP_009545113.1	WP_012595347.1
OG0000168	WP_024750364.1	WP_012595040.1
OG0000168	WP_009545215.1	WP_012595915.1
OG0000169	WP_009543699.1	WP_015957306.1
OG0000169	WP_009547631.1	WP_041229613.1
OG0000170	WP_024750284.1, WP_009546182.1	WP_012595415.1
OG0000171	WP_009547136.1	WP_012596566.1, WP_012594960.1
OG0000172	WP_243397453.1, WP_009543715.1	WP_012595847.1
OG0000173	WP_009543802.1	WP_203427710.1, WP_012596482.1
OG0000174	WP_009546419.1, WP_009544677.1	WP_041229611.1
OG0000175	WP_009543989.1, WP_024750241.1	WP_203427739.1
OG0000176	WP_009543462.1, WP_009544313.1	WP_012595983.1
OG0000177	WP_009545914.1, WP_009547551.1	WP_012593812.1
OG0000178	WP_009545425.1, WP_009543381.1	WP_015957285.1
OG0000179	WP_009546400.1, WP_009546591.1	WP_012593831.1
OG0000180	WP_009545813.1, WP_009544614.1	WP_012594966.1
OG0000181	WP_009545406.1, WP_009544388.1	WP_012595123.1
OG0000182	WP_009544440.1, WP_009546363.1	WP_041229695.1
OG0000183	WP_243397380.1	WP_012595945.1, WP_012596143.1
OG0000184	WP_009546298.1, WP_009544778.1	WP_012595374.1
OG0000185	WP_009545988.1	WP_015785214.1
OG0000186	WP_009544106.1	WP_012595365.1, WP_012595446.1
OG0000187	WP_009544323.1, WP_009546091.1	WP_012596644.1
OG0000188	WP_009544345.1	WP_012594741.1, WP_015957416.1
OG0000189	WP_009543285.1	WP_012597216.1
OG0000189	WP_009547895.1, WP_009543259.1	WP_012595906.1
OG0000190	WP_009543733.1	WP_012596570.1
OG0000190	WP_009545957.1, WP_009543621.1	WP_012597210.1
OG0000190	WP_009543734.1	WP_241392576.1
