prot	spp	ID	palindrome	obs	markov3	genomesize	A	Th	C	G	N
9355_dnaN.fna	Cyanobium_gracile_PCC_6307	WP_015109935.1	GCGATCGC	0	0.08822959837633366	1158	175	156	443	384	0
9355_dnaN.fna	Cyanobium_sp_M30B3	WP_213203715.1	GCGATCGC	0	0.04900088022058488	1149	169	174	429	377	0
9355_dnaN.fna	Cyanobium_sp_NIES-981	WP_087068469.1	GCGATCGC	0	0.09688387904676776	1188	182	175	444	387	0
9355_dnaN.fna	Cyanobium_sp_NS01	WP_186697852.1	GCGATCGC	0	0.1602474345168185	1128	174	183	415	356	0
9355_dnaN.fna	Synechococcus_sp_CBW1002	WP_197158983.1	GCGATCGC	0	0.0654194032104098	1146	176	196	419	355	0
9355_dnaN.fna	Synechococcus_sp_CBW1004	WP_197210617.1	GCGATCGC	0	0.23453518376771715	1194	181	205	429	379	0
9355_dnaN.fna	Synechococcus_sp_CBW1006	WP_197158983.1	GCGATCGC	0	0.0654194032104098	1146	176	196	419	355	0
9355_dnaN.fna	Synechococcus_sp_CBW1108	WP_197152661.1	GCGATCGC	0	0.08318752538138731	1155	201	217	385	352	0
9357_purL.fna	Cyanobium_gracile_PCC_6307	WP_156818608.1	GCGATCGC	0	0.23732244816685133	2337	298	309	800	930	0
9357_purL.fna	Cyanobium_sp_M30B3	WP_213203717.1	GCGATCGC	0	0.2841328205618178	2424	322	342	879	881	0
9357_purL.fna	Cyanobium_sp_NIES-981	WP_087069370.1	GCGATCGC	0	0.15319558454356044	2409	313	325	879	892	0
9357_purL.fna	Cyanobium_sp_NS01	WP_186697856.1	GCGATCGC	0	0.172404689142945	2403	331	341	870	861	0
9357_purL.fna	Synechococcus_sp_CBW1002	WP_197171291.1	GCGATCGC	0	0.19330799206458285	2430	323	374	853	880	0
9357_purL.fna	Synechococcus_sp_CBW1004	WP_197210616.1	GCGATCGC	1	0.17563694421966317	2385	313	383	843	846	0
9357_purL.fna	Synechococcus_sp_CBW1006	WP_197157840.1	GCGATCGC	0	0.1925013738144627	2430	323	377	849	881	0
9357_purL.fna	Synechococcus_sp_CBW1108	WP_231596652.1	GCGATCGC	1	0.37607266953257457	2310	341	380	762	827	0
9358_purF.fna	Cyanobium_gracile_PCC_6307	WP_043327086.1	GCGATCGC	0	0.18169551506048984	1485	235	231	506	513	0
