source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Thermosynechococcus_clade/pangenoma	Acaryochloris_marina_MBIC11017_GCF_000018105.1_genomic.gbff	Acaryochloris_marina_S15_GCF_018336915.1_genomic.gbff	Acaryochloris_sp__Moss_Beach_GCF_021497025.1_genomic.gbff	Gloeomargarita_lithophora_Alchichica-_D10_GCF_001870225.1_genomic.gbff	Synechococcus_sp_PCC_6312_GCF_000316685.1_genomic.gbff	Thermostichus_lividus_PCC_6715_GCF_002754935.1_genomic.gbff	Thermosynechococcus_elongatus_PKUAC-SCTE542_GCF_003555505.1_genomic.gbff	Thermosynechococcus_sp_CL-1_GCF_008386235.1_genomic.gbff	Thermosynechococcus_sp_HN-54_GCF_023650955.1_genomic.gbff	Thermosynechococcus_sp_TA-1_GCF_017086385.1_genomic.gbff	Thermosynechococcus_sp_a_NK55_GCF_000505665.1_genomic.gbff	Thermosynechococcus_vestitus_BP-1_GCF_000011345.1_genomic.gbff	
1_istB.faa	13	0	1	0	0	0	0	0	0	0	0	0	
2_relaxase_domain-cont...faa	5	2	3	0	0	0	0	0	0	0	0	0	
3_pentapeptide_repeat-...faa	1	0	0	0	0	0	0	0	0	0	0	0	
4_hypothetical_protein.faa	3	0	0	0	0	0	0	0	0	0	0	0	
5_hypothetical_protein.faa	2	1	0	0	0	0	0	0	0	0	0	0	
6_hypothetical_protein.faa	3	1	1	0	0	0	0	0	0	0	0	0	
7_hypothetical_protein.faa	3	1	1	0	0	0	0	0	0	0	0	0	
8_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
9_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
10_hypothetical_protein.faa	3	0	1	0	0	0	0	0	0	0	0	0	
11_GNAT_family_N-acetyl...faa	2	0	1	0	0	0	0	0	0	0	0	0	
12_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
13_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
14_tetratricopeptide_re...faa	6	4	5	0	0	0	0	0	0	0	0	0	
15_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
16_helix-turn-helix_dom...faa	8	0	0	0	0	0	0	0	0	0	0	0	
17_transposase.faa	7	0	0	0	0	0	0	0	0	0	0	0	
18_recombinase_family_p...faa	1	0	0	0	0	0	0	0	0	0	0	0	
19_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	
20_hypothetical_protein.faa	3	1	1	0	0	0	0	0	0	0	0	0	
21_hypothetical_protein.faa	3	2	1	0	0	0	0	0	0	0	0	0	
