Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Calothrix_sp_336-3_336-3.gbff,Calothrix_sp_NIES-3974_NIES-3974.gbff,Calothrix_sp_NIES-4071_NIES-4071.gbff,Calothrix_sp_NIES-4105_NIES-4105.gbff,Calothrix_sp_PCC_6303_PCC_6303.gbff,Calothrix_sp_PCC_7716_PCC_7716.gbff
1_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
2_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
3_HNH_endonuclease.faa,,,,,,,,,,,,,,1,0,0,0,0,0
4_class_I_SAM-dependen...faa,,,,,,,,,,,,,,1,0,1,1,0,0
5_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
6_tyrosine-type_recomb...faa,,,,,,,,,,,,,,1,0,1,1,1,1
7_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
8_IS4_family_transposa...faa,,,,,,,,,,,,,,1,0,0,0,1,0
9_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
10_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
11_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
12_S8_family_serine_pep...faa,,,,,,,,,,,,,,1,0,0,0,0,0
13_BMP_family_protein.faa,,,,,,,,,,,,,,1,0,1,1,1,1
14_ABC_transporter_ATP-...faa,,,,,,,,,,,,,,1,0,1,1,1,1
15_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,0,1,1,1,1
16_ABC_transporter_perm...faa,,,,,,,,,,,,,,1,0,1,1,1,1
17_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0
19_IS701_family_transpo...faa,,,,,,,,,,,,,,1,0,0,0,0,1
20_NACHT_domain-contain...faa,,,,,,,,,,,,,,1,0,0,0,0,0
