"ortólogo"	"sitio"	"deleciones"	"species"
"11719_MFS_transporter.codon.alg.fasta.phy"	"63:70"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"11719_MFS_transporter.codon.alg.fasta.phy"	"302:309"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"11673_ABC_transporter_perm...codon.alg.fasta.phy"	"390:397"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"13078_DUF475_domain-contai...codon.alg.fasta.phy"	"982:989"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12401_ribonuclease_HII.codon.alg.fasta.phy"	"36:43"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12013_pyrR.codon.alg.fasta.phy"	"40:47"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12664_DUF3326_domain-conta...codon.alg.fasta.phy"	"1179:1186"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"14093_glgA.codon.alg.fasta.phy"	"1513:1520"	"5"	"JA-3-3Ab,PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"11856_glycosyltransferase.codon.alg.fasta.phy"	"329:336"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12660_DNA_double-strand_br...codon.alg.fasta.phy"	"1284:1291"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12180_DUF697_domain-contai...codon.alg.fasta.phy"	"510:517"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12009_PfkB_family_carbohyd...codon.alg.fasta.phy"	"541:548"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12009_PfkB_family_carbohyd...codon.alg.fasta.phy"	"703:710"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"13009_queA.codon.alg.fasta.phy"	"373:380"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12604_CCA_tRNA_nucleotidyl...codon.alg.fasta.phy"	"161:168"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12401_ribonuclease_HII.codon.alg.fasta.phy"	"519:526"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12089_HNH_endonuclease.codon.alg.fasta.phy"	"500:507"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"12793_tig.codon.alg.fasta.phy"	"1486:1493"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
"11639_DUF1995_family_prote...codon.alg.fasta.phy"	"410:417"	"4"	"PCC_7336,ABRG5-3,PCC_7502,PCC_7367"
