source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Synechococcus_cyanobium_clade/pangenoma	Cyanobium_gracile_PCC_6307_GCF_000316515.1_genomic.gbff	Cyanobium_sp_M30B3_GCF_018399015.1_genomic.gbff	Cyanobium_sp_NIES-981_GCF_900088535.1_genomic.gbff	Cyanobium_sp_NS01_GCF_014280235.1_genomic.gbff	Synechococcus_sp_CBW1002_GCF_015840915.1_genomic.gbff	Synechococcus_sp_CBW1004_GCF_015840715.1_genomic.gbff	Synechococcus_sp_CBW1006_GCF_015840525.1_genomic.gbff	Synechococcus_sp_CBW1108_GCF_015840335.1_genomic.gbff	
16_hypothetical_protein.faa	1	0	0	0	1	1	1	1	
17_sodium-dependent_bic...faa	1	0	0	0	1	1	1	1	
20_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
61_CPBP_family_intramem...faa	1	0	0	0	0	0	0	0	
74_divalent-cation_tole...faa	1	0	1	0	1	1	1	1	
77_hypothetical_protein.faa	1	0	0	0	0	1	0	0	
83_glycosyltransferase_...faa	1	0	0	0	1	1	1	0	
84_glycosyltransferase_...faa	1	0	0	0	1	1	1	0	
85_phosphatase_PAP2_fam...faa	1	0	0	0	0	0	0	0	
88_chloride_channel_pro...faa	1	1	1	0	1	1	1	1	
89_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
90_L-D-transpeptidase.faa	1	0	0	0	0	0	0	0	
93_type_II_toxin-antito...faa	1	0	0	0	1	0	1	1	
94_type_II_toxin-antito...faa	1	1	0	0	1	1	2	1	
95_hypothetical_protein.faa	1	0	0	0	1	0	1	0	
100_YdcF_family_protein.faa	1	0	0	0	0	0	0	0	
101_DUF1778_domain-conta...faa	1	1	0	0	0	0	0	1	
102_hypothetical_protein.faa	1	1	1	0	1	0	1	1	
103_NUDIX_domain-contain...faa	1	0	0	0	1	0	0	1	
105_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
113_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
114_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
115_transposase.faa	3	1	0	0	0	0	0	0	
116_istB.faa	1	1	5	0	6	0	11	20	
117_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
118_insulinase_family_pr...faa	1	0	0	0	0	0	0	0	
119_IS5_family_transposa...faa	1	0	1	0	3	26	0	2	
122_translocation-assemb...faa	1	0	0	0	0	0	0	0	
126_APC_family_permease.faa	1	1	0	0	0	0	0	0	
127_DUF1651_domain-conta...faa	1	0	0	0	0	1	0	1	
128_LOG_family_protein.faa	1	0	0	0	0	0	0	0	
130_hypothetical_protein.faa	1	0	1	0	1	0	0	0	
131_AbrB_family_transcri...faa	1	0	0	0	0	0	0	0	
132_4a-hydroxytetrahydro...faa	1	0	1	0	1	0	1	1	
133_hypothetical_protein.faa	2	0	0	0	0	0	0	0	
134_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
135_AbrB_family_transcri...faa	1	0	0	0	0	0	0	0	
136_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
138_thermonuclease_famil...faa	1	0	0	0	0	0	0	0	
140_IS3_family_transposa...faa	2	0	0	0	0	0	0	0	
141_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
142_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
143_IS481_family_transpo...faa	1	0	0	0	0	0	0	0	
144_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
145_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
146_tyrosine-type_recomb...faa	1	0	0	0	0	0	0	0	
147_IS3_family_transposa...faa	3	0	0	0	2	0	1	0	
148_IS3_family_transposa...faa	2	0	0	0	0	0	0	0	
149_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
151_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
153_DUF945_domain-contai...faa	2	0	0	0	0	1	0	0	
154_hypothetical_protein.faa	2	0	0	0	0	0	0	0	
155_hypothetical_protein.faa	2	0	0	0	0	0	0	0	
156_hypothetical_protein.faa	2	0	0	0	0	0	0	0	
157_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
158_sigma-70_family_RNA_...faa	2	0	0	0	0	0	0	0	
159_AAA_family_ATPase.faa	1	0	0	0	0	0	0	0	
160_DDE-type_integrase-t...faa	1	0	0	0	0	0	0	0	
161_helix-turn-helix_dom...faa	1	0	0	0	0	0	0	0	
162_helix-turn-helix_dom...faa	1	0	0	0	0	0	0	0	
163_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
164_site-specific_integr...faa	1	1	0	0	1	0	1	1	
165_hypothetical_protein.faa	1	0	0	0	0	0	0	0	
166_YihY-virulence_facto...faa	1	0	0	0	0	0	0	0	
