"ortólogo"	"sitio"	"deleciones"	"species"
"9641_HEAT_repeat_domain-c...codon.alg.fasta.phy"	"808:815"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8607_pheA.codon.alg.fasta.phy"	"571:578"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8105_phospholipase_D-like...codon.alg.fasta.phy"	"1679:1686"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8789_serine-threonine_pro...codon.alg.fasta.phy"	"1039:1046"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8305_kdpC.codon.alg.fasta.phy"	"638:645"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8982_class_I_SAM-dependen...codon.alg.fasta.phy"	"284:291"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"6743_topA.codon.alg.fasta.phy"	"634:641"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"6932_polysaccharide_deace...codon.alg.fasta.phy"	"144:151"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"9902_U32_family_peptidase.codon.alg.fasta.phy"	"1153:1160"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"5673_ABC_transporter_ATP-...codon.alg.fasta.phy"	"2018:2025"	"5"	"336-3,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8701_ybeY.codon.alg.fasta.phy"	"163:170"	"5"	"336-3,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"6582_phosphoribosyltransf...codon.alg.fasta.phy"	"531:538"	"5"	"336-3,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"9765_GDSL-type_esterase-l...codon.alg.fasta.phy"	"309:316"	"5"	"336-3,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"5752_hypothetical_protein.codon.alg.fasta.phy"	"31:38"	"5"	"336-3,NIES-3974,PCC_7716,NIES-4071,NIES-4105"
"7891_accD.codon.alg.fasta.phy"	"980:987"	"5"	"336-3,NIES-3974,PCC_7716,NIES-4071,NIES-4105"
"7144_hypothetical_protein.codon.alg.fasta.phy"	"266:273"	"4"	"PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8248_FtsQ-type_POTRA_doma...codon.alg.fasta.phy"	"415:422"	"4"	"NIES-3974,PCC_7716,NIES-4071,NIES-4105"
"9843_PA14_domain-containi...codon.alg.fasta.phy"	"901:908"	"4"	"PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8496_HEAT_repeat_domain-c...codon.alg.fasta.phy"	"697:704"	"4"	"336-3,PCC_7716,NIES-4071,NIES-4105"
"5895_pentapeptide_repeat-...codon.alg.fasta.phy"	"216:223"	"4"	"336-3,PCC_7716,NIES-4071,NIES-4105"
"8251_hypothetical_protein.codon.alg.fasta.phy"	"445:452"	"4"	"PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8295_GAF_domain-containin...codon.alg.fasta.phy"	"2818:2825"	"4"	"336-3,PCC_7716,NIES-4071,NIES-4105"
"8136_efflux_RND_transport...codon.alg.fasta.phy"	"3175:3182"	"4"	"336-3,PCC_7716,NIES-4071,NIES-4105"
"5355_caspase_family_prote...codon.alg.fasta.phy"	"2206:2213"	"4"	"PCC_6303,PCC_7716,NIES-4071,NIES-4105"
