source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Pseudoanabaena_clade/pangenoma	Pseudanabaena_sp_ABRG5-3_GCF_003967015.1_genomic.gbff	Pseudanabaena_sp_PCC_7367_GCF_000317065.1_genomic.gbff	Synechococcus_sp_JA-2-3Ba_2-13_JA-2-3Ba_2-13_GCF_000013225.1_genomic.gbff	Synechococcus_sp_JA-3-3Ab_GCF_000013205.1_genomic.gbff	Synechococcus_sp_PCC_7336_GCF_000332275.1_genomic.gbff	Synechococcus_sp_PCC_7502_GCF_000317085.1_genomic.gbff	
1_prohibitin_family_pr...faa	2	0	1	0	1	0	
2_hypothetical_protein.faa	1	0	0	0	0	0	
3_DUF4019_domain-conta...faa	1	0	0	0	0	0	
4_hypothetical_protein.faa	1	0	0	0	0	0	
5_VWA_domain-containin...faa	2	0	0	0	0	0	
7_hypothetical_protein.faa	2	0	0	0	0	0	
9_CHAT_domain-containi...faa	1	0	0	0	0	0	
10_YiaA-YiaB_family_inn...faa	1	1	0	0	0	2	
11_hypothetical_protein.faa	1	0	0	0	0	0	
12_M48_family_metallope...faa	1	1	0	0	0	0	
13_DUF1822_family_prote...faa	1	0	0	0	0	0	
14_sigma-70_family_RNA_...faa	1	0	0	0	0	0	
15_hpxO.faa	1	0	0	0	1	1	
16_uraD.faa	1	0	0	0	0	1	
17_puuE.faa	1	0	1	0	0	1	
18_ring-opening_amidohy...faa	1	0	0	0	0	0	
19_gamma-glutamylcyclot...faa	1	0	0	0	0	1	
20_uraH.faa	1	0	0	0	0	1	
21_iron_uptake_porin.faa	3	2	0	0	0	1	
22_hypothetical_protein.faa	1	0	0	0	0	0	
24_ABC_transporter_ATP-...faa	1	0	1	0	0	0	
25_ABC_transporter_subs...faa	1	0	1	0	0	0	
27_Zn-dependent_hydrola...faa	1	0	0	0	0	1	
28_GntR_family_transcri...faa	1	0	0	0	0	1	
29_hypothetical_protein.faa	5	0	0	0	0	0	
30_methyltransferase_do...faa	2	1	0	0	1	1	
31_isoprenylcysteine_ca...faa	2	0	0	0	0	0	
32_ParB-RepB-Spo0J_fami...faa	1	0	0	0	0	0	
33_ParA_family_protein.faa	5	1	1	0	0	1	
34_cadmium_resistance_t...faa	3	0	0	0	0	0	
36_hypothetical_protein.faa	1	0	0	0	0	0	
37_DUF202_domain-contai...faa	1	0	0	0	0	0	
38_PhnD-SsuA-transferri...faa	1	0	0	0	0	0	
39_tetratricopeptide_re...faa	1	0	0	0	0	0	
40_LysR_substrate-bindi...faa	1	0	0	0	0	0	
43_DUF4276_family_prote...faa	1	0	0	0	0	0	
44_AAA_family_ATPase.faa	2	0	0	0	0	0	
45_phosphatase_PAP2_fam...faa	1	0	0	0	0	0	
46_sulfite_exporter_Tau...faa	1	0	0	0	0	0	
47_hypothetical_protein.faa	1	0	0	0	0	1	
48_MgtC-SapB_family_pro...faa	1	1	0	0	1	0	
49_sulfurtransferase.faa	1	0	0	0	0	0	
50_Uma2_family_endonucl...faa	1	0	0	0	0	0	
52_sulfate_ABC_transpor...faa	1	0	0	0	0	1	
53_helix-turn-helix_dom...faa	1	0	0	0	2	1	
54_cysK.faa	1	0	0	0	0	0	
55_cysE.faa	1	0	0	0	0	0	
56_Rrf2_family_transcri...faa	1	0	0	0	0	0	
57_J_domain-containing_...faa	1	0	0	0	0	1	
58_methyltransferase_do...faa	1	0	0	0	0	1	
59_iron_uptake_porin.faa	1	0	0	0	0	0	
60_NADPH-dependent_oxid...faa	1	0	0	0	0	0	
62_ATP-binding_cassette...faa	1	0	0	0	0	0	
64_TSUP_family_transpor...faa	1	0	0	0	0	0	
65_DUF2808_domain-conta...faa	1	0	0	0	0	0	
67_glutathione_S-transf...faa	1	1	0	0	0	0	
68_LLM_class_flavin-dep...faa	1	0	0	0	0	0	
69_hypothetical_protein.faa	1	0	0	0	0	0	
71_MFS_transporter.faa	1	0	0	0	0	0	
72_MarR_family_transcri...faa	1	0	0	0	0	1	
73_ABC_transporter_perm...faa	1	0	0	0	0	0	
75_amidohydrolase_famil...faa	1	0	0	0	1	0	
76_aldo-keto_reductase.faa	3	1	0	0	1	1	
77_ABC_transporter_ATP-...faa	1	0	0	0	0	0	
78_aliphatic_sulfonate_...faa	2	0	0	0	0	0	
79_TauD-TfdA_family_dio...faa	1	1	0	0	0	0	
81_NIL_domain-containin...faa	1	0	0	0	0	0	
85_hypothetical_protein.faa	1	0	0	0	0	0	
86_hypothetical_protein.faa	1	0	0	0	0	0	
87_hypothetical_protein.faa	1	0	0	0	0	1	
88_hypothetical_protein.faa	1	0	0	0	0	0	
89_NACHT_domain-contain...faa	1	0	0	0	0	1	
90_hemerythrin_domain-c...faa	1	0	0	0	0	1	
91_hypothetical_protein.faa	2	0	0	0	0	1	
92_hypothetical_protein.faa	1	0	0	0	0	0	
93_hypothetical_protein.faa	1	0	0	0	0	1	
94_GGDEF_domain-contain...faa	1	0	0	0	0	1	
95_MFS_transporter.faa	1	0	0	0	0	1	
96_YggT_family_protein.faa	1	0	0	0	0	0	
97_sterol_desaturase_fa...faa	1	0	0	0	1	1	
98_hypothetical_protein.faa	1	0	0	0	0	0	
99_CsbD_family_protein.faa	1	1	1	0	2	1	
100_CsbD_family_protein.faa	1	0	0	0	0	0	
101_hypothetical_protein.faa	1	0	0	0	0	0	
102_IS1_family_transposa...faa	3	0	0	0	0	0	
103_glycoside_hydrolase_...faa	1	0	0	0	0	0	
104_hypothetical_protein.faa	1	0	0	0	0	0	
105_tetratricopeptide_re...faa	1	0	0	0	0	0	
106_hypothetical_protein.faa	1	0	0	0	0	0	
107_type_II_toxin-antito...faa	1	0	0	0	0	0	
108_hypothetical_protein.faa	1	0	0	0	0	0	
109_MBL_fold_metallo-hyd...faa	1	0	0	0	0	0	
110_IS982_family_transpo...faa	4	0	0	0	0	1	
111_MBL_fold_metallo-hyd...faa	1	0	0	0	0	0	
112_hypothetical_protein.faa	1	0	0	0	0	0	
113_sensor_histidine_kin...faa	1	0	0	0	0	0	
114_hypothetical_protein.faa	1	0	0	0	0	0	
115_hypothetical_protein.faa	1	0	0	0	1	0	
116_DUF1822_family_prote...faa	1	0	0	0	1	0	
117_CHASE2_domain-contai...faa	1	0	0	0	1	0	
118_AbrB-MazE-SpoVT_fami...faa	1	0	0	0	1	0	
119_hypothetical_protein.faa	1	0	0	0	0	0	
120_NACHT_domain-contain...faa	1	0	0	0	0	0	
121_hypothetical_protein.faa	1	0	0	0	0	0	
122_hypothetical_protein.faa	1	0	0	0	0	0	
123_NB-ARC_domain-contai...faa	3	0	0	0	0	2	
124_hypothetical_protein.faa	1	0	0	0	0	0	
125_hypothetical_protein.faa	1	0	0	0	0	0	
126_alpha-beta_fold_hydr...faa	1	0	0	0	0	1	
127_serine_hydrolase.faa	1	0	0	0	0	0	
129_IS5_family_transposa...faa	5	6	0	0	0	0	
130_ATP-binding_protein.faa	1	0	0	0	0	0	
131_DUF928_domain-contai...faa	2	0	0	0	0	0	
132_CHAT_domain-containi...faa	3	2	0	0	1	0	
133_filamentous_hemagglu...faa	2	0	0	0	0	0	
134_CHASE2_domain-contai...faa	1	0	0	0	0	0	
135_ShlB-FhaC-HecB_famil...faa	3	1	0	0	1	0	
137_SWIM_zinc_finger_fam...faa	1	1	0	0	1	0	
138_hypothetical_protein.faa	2	0	0	0	0	0	
139_hypothetical_protein.faa	1	0	0	0	0	0	
140_DUF2281_domain-conta...faa	1	0	0	0	0	0	
141_tetratricopeptide_re...faa	1	0	0	0	0	0	
142_hypothetical_protein.faa	1	0	0	0	0	0	
143_DEAD-DEAH_box_helica...faa	1	1	0	0	1	0	
144_aldo-keto_reductase.faa	1	1	0	0	0	1	
146_ParB-RepB-Spo0J_fami...faa	4	0	0	0	0	0	
147_SWIM_zinc_finger_fam...faa	1	0	0	0	0	0	
148_aminoglycoside_phosp...faa	1	0	0	0	0	0	
150_polysaccharide_biosy...faa	1	1	0	0	2	1	
151_polysaccharide_biosy...faa	1	0	0	0	0	0	
152_type_I_polyketide_sy...faa	6	0	0	0	2	0	
153_non-ribosomal_peptid...faa	3	0	0	0	1	0	
154_non-ribosomal_peptid...faa	1	0	0	0	0	1	
157_non-ribosomal_peptid...faa	1	0	0	0	0	0	
158_SGNH-GDSL_hydrolase_...faa	1	0	0	0	0	0	
159_phytanoyl-CoA_dioxyg...faa	1	0	0	0	0	0	
