Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Chamaesiphon_minutus_PCC_6605_GCF_000317145.1_genomic.gbff,Chondrocystis_sp_NIES-4102_GCF_002368355.1_genomic.gbff,Cyanobacterium_aponinum_PCC_10605_GCF_000317675.1_genomic.gbff,Dactylococcopsis_salina_PCC_8305_GCF_000317615.1_genomic.gbff,Euhalothece_natronophila_Z-M001_GCF_007904085.1_genomic.gbff,Geminocystis_herdmanii_PCC_6308_GCF_000332235.1_genomic.gbff,Geminocystis_sp_NIES-3708_GCF_001548095.1_genomic.gbff,Geminocystis_sp_NIES-3709_GCF_001548115.1_genomic.gbff,Halothece_sp_PCC_7418_GCF_000317635.1_genomic.gbff,Stanieria_cyanosphaera_PCC_7437_GCF_000317575.1_genomic.gbff,Stanieria_sp_NIES-3757_GCF_002355455.1_genomic.gbff
4_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
5_TOBE-like_domain-con...faa,,,,,,,,,,,,,,1,1,0,0,0,1,1,1,0,1,1
7_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
8_cysW.faa,,,,,,,,,,,,,,1,1,0,0,0,1,1,1,0,1,1
9_cysT.faa,,,,,,,,,,,,,,1,1,0,0,0,1,1,1,0,1,1
12_NIL_domain-containin...faa,,,,,,,,,,,,,,1,1,0,0,0,1,1,1,0,1,1
13_cysE.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
15_PAS_domain-containin...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
18_serine-threonine_pro...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
19_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
20_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
