HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N0.HOG0000000	OG0000000	n0		WP_009545688.1, WP_009544211.1, WP_009545834.1, WP_009543248.1, WP_009543969.1, WP_009543647.1, WP_009543303.1, WP_009543747.1, WP_009543746.1, WP_009544528.1, WP_009543304.1, WP_009543748.1, WP_009543301.1, WP_009544529.1, WP_009544070.1, WP_009546621.1, WP_009544246.1, WP_009546007.1	WP_012593802.1, WP_012594178.1, WP_015783362.1, WP_015957397.1, WP_012595925.1, WP_012594684.1, WP_012595926.1, WP_012593388.1, WP_241392623.1, WP_012593410.1			
N0.HOG0000001	OG0000001	n0		WP_009544936.1, WP_009545753.1, WP_024750298.1	WP_012596259.1, WP_012596423.1, WP_041229687.1, WP_012593535.1, WP_015957298.1, WP_012596456.1, WP_012595172.1, WP_012594502.1, WP_012594446.1, WP_015957313.1, WP_012594682.1, WP_203427707.1, WP_012595481.1, WP_012597142.1, WP_241392606.1, WP_241392724.1, WP_012595241.1, WP_012596802.1, WP_012593748.1, WP_012596139.1, WP_012596118.1		WP_052470631.1	WP_232014520.1
N0.HOG0000002	OG0000002	n1	WP_012954598.1	WP_009545745.1	WP_012594306.1	WP_229637470.1	WP_044107455.1	WP_119260188.1
N0.HOG0000003	OG0000002	n7	WP_012953902.1	WP_009547639.1	WP_012593393.1	WP_229636895.1	WP_044107086.1	WP_119260492.1
N0.HOG0000004	OG0000002	n12	WP_012954277.1	WP_009547100.1, WP_009543682.1	WP_012593409.1, WP_012594749.1	WP_040054326.1	WP_044105586.1	WP_119259283.1
N0.HOG0000005	OG0000003	n0		WP_009545383.1, WP_009543657.1, WP_243397349.1, WP_009547710.1, WP_009547523.1, WP_009543344.1, WP_009545224.1, WP_009546112.1, WP_009546100.1, WP_009547688.1, WP_009546927.1, WP_009545379.1, WP_009547381.1	WP_241392545.1, WP_012597252.1, WP_012596899.1, WP_012597031.1, WP_012594345.1, WP_012595469.1, WP_012596442.1			
N0.HOG0000006	OG0000004	n1	WP_012953566.1	WP_009544490.1	WP_012594919.1	WP_229637575.1	WP_044107682.1	WP_119260999.1
N0.HOG0000007	OG0000004	n7		WP_009546682.1	WP_015785227.1			
N0.HOG0000008	OG0000004	n9		WP_009544488.1	WP_012597044.1			
N0.HOG0000009	OG0000004	n11	WP_012954293.1	WP_243397431.1		WP_229637264.1		
N0.HOG0000010	OG0000004	n13	WP_012953905.1	WP_009543637.1	WP_203427746.1	WP_229636898.1	WP_171816450.1	WP_172582107.1
N0.HOG0000011	OG0000005	n1	WP_012953853.1	WP_009543121.1	WP_012594914.1	WP_229636863.1	WP_044106509.1	WP_119260956.1
N0.HOG0000012	OG0000005	n7	WP_236608132.1	WP_009543917.1	WP_012593970.1	WP_229637646.1	WP_044107588.1	WP_119260937.1
N0.HOG0000013	OG0000005	n12	WP_012953908.1	WP_009544188.1	WP_015957337.1	WP_229636901.1	WP_044105651.1	WP_119259336.1
N0.HOG0000014	OG0000006	n1	WP_012954347.1	WP_009545257.1	WP_012593655.1	WP_229637299.1	WP_044106285.1	WP_119259854.1
N0.HOG0000015	OG0000006	n7	WP_236608133.1	WP_182670735.1	WP_012595157.1	WP_229637682.1	WP_195910197.1	WP_232014621.1
N0.HOG0000016	OG0000006	n12	WP_012954085.1	WP_009544095.1	WP_012593979.1	WP_229637040.1	WP_044106813.1	WP_119260741.1
N0.HOG0000017	OG0000007	n0		WP_009544607.1, WP_009547819.1, WP_009544562.1, WP_009543169.1	WP_012595323.1, WP_012595742.1, WP_012594350.1, WP_012596081.1, WP_012595666.1, WP_012594578.1, WP_012595080.1, WP_012593644.1, WP_012596642.1, WP_012594194.1, WP_012595327.1, WP_012596554.1, WP_012593459.1, WP_012595205.1			
N0.HOG0000018	OG0000008	n0		WP_009544224.1, WP_009545933.1, WP_009547229.1, WP_009544929.1, WP_009545007.1, WP_009544699.1, WP_243397462.1, WP_009545322.1, WP_243397464.1, WP_009546315.1, WP_009546992.1, WP_009545098.1, WP_243397458.1	WP_012595034.1, WP_012595352.1, WP_012596978.1, WP_012595457.1, WP_012594683.1			
N0.HOG0000019	OG0000009	n1	WP_236608145.1	WP_024750155.1	WP_241392710.1	WP_229637718.1	WP_232509908.1	WP_232014601.1
N0.HOG0000020	OG0000009	n7	WP_012954549.1	WP_009545890.1	WP_012596758.1		WP_044107246.1	WP_119260356.1
N0.HOG0000021	OG0000009	n11	WP_012954099.1	WP_009545720.1	WP_012594295.1	WP_040054735.1	WP_044106882.1	WP_119260673.1
N0.HOG0000022	OG0000010	n0	WP_148207764.1	WP_009545020.1, WP_009546667.1, WP_009546565.1	WP_012596619.1, WP_012595805.1, WP_012596210.1	WP_229636990.1, WP_229637188.1	WP_171816378.1, WP_044105555.1, WP_052470609.1, WP_044106279.1	WP_232014554.1, WP_232014529.1, WP_232014569.1
N0.HOG0000023	OG0000011	n1	WP_012953813.1	WP_009546116.1, WP_009547563.1	WP_012596523.1	WP_040054185.1	WP_044106088.1	WP_119259714.1
N0.HOG0000024	OG0000011	n7	WP_012953814.1	WP_009543924.1, WP_009547562.1, WP_009546117.1	WP_012596524.1	WP_040054186.1	WP_044106087.1	WP_119259713.1
N0.HOG0000025	OG0000012	n0	WP_012953833.1	WP_009547713.1, WP_009543676.1, WP_024750201.1	WP_012596142.1, WP_012594471.1, WP_157861323.1, WP_012796780.1	WP_040054202.1	WP_044105968.1, WP_044105796.1, WP_044105915.1	WP_119259605.1, WP_119259430.1, WP_119259554.1
N0.HOG0000026	OG0000013	n1					WP_044105701.1	WP_119259368.1
N0.HOG0000027	OG0000013	n3	WP_012954435.1	WP_009547756.1, WP_009547089.1	WP_012594400.1	WP_040055025.1, WP_040054568.1		
N0.HOG0000028	OG0000013	n8	WP_012954458.1	WP_009545746.1, WP_009543059.1, WP_009545489.1	WP_012594852.1, WP_012593716.1	WP_040054550.1		
N0.HOG0000029	OG0000014	n0		WP_009547647.1, WP_009543293.1, WP_009544734.1, WP_009543166.1	WP_015785365.1, WP_012593959.1, WP_012594385.1, WP_203427702.1, WP_012596144.1, WP_012597121.1, WP_012596208.1, WP_012595891.1, WP_049769550.1, WP_012594659.1, WP_012594529.1			
N0.HOG0000030	OG0000015	n0		WP_009545827.1, WP_009543943.1, WP_009543606.1	WP_012596624.1, WP_012596397.1, WP_012594594.1, WP_012595899.1, WP_012594926.1, WP_015957358.1, WP_012597101.1, WP_015957393.1, WP_012595331.1, WP_012595555.1, WP_012597050.1, WP_012595047.1			
N0.HOG0000031	OG0000016	n1	WP_012954196.1	WP_009546466.1	WP_012593760.1	WP_229637191.1	WP_044106471.1	WP_119259995.1
N0.HOG0000032	OG0000016	n6	WP_012953920.1	WP_009543337.1, WP_009547210.1	WP_012596559.1, WP_015957439.1	WP_229636910.1	WP_171816456.1	WP_172582113.1
N0.HOG0000033	OG0000017	n0	WP_012954021.1	WP_009544298.1, WP_009546399.1, WP_009546408.1, WP_009544297.1, WP_009546409.1, WP_009544307.1, WP_009546394.1, WP_009547633.1	WP_012594218.1, WP_012595624.1	WP_229636979.1	WP_044106804.1	WP_119260749.1
N0.HOG0000034	OG0000018	n1	WP_012954371.1	WP_009543558.1	WP_012594879.1	WP_229637316.1	WP_044105505.1	WP_119260137.1
